Anti-Terror-Krieg,2001,2
Milzbrandattacke,2001,3
Schläfer,2001,4
Stammzellenimport,2001,5
Schlafmünzen,2001,6
Homo-Ehe,2001,7
Agrarwende,2001,8
Luderliga,2001,9
Riester-Rente,2001,10
simsen,2001,11
"Und das ist (auch) gut so!",2001,12
Schwarzgeldaffäre,2000,1
BSE-Krise,2000,2
Greencard,2000,3
"gegen Rechts",2000,4
SMS,2000,5
Kampfhund,2000,6
brutalstmöglich,2000,7
Leitkultur,2000,8
Big-Brother-Haus,2000,9
basta,2000,10
Millennium,1999,1
Kosovokrieg,1999,2
"Generation @",1999,3
Euroland,1999,4
nachbessern,1999,5
Doppelpass,1999,6
Anderkonto,1999,7
"feindliche Übernahme",1999,8
Sofi,1999,9
Rindfleischetikettierungsüberwachungsaufgabenübertragungsgesetz,1999,10
Rot-Grün,1998,1
Viagra,1998,2
"neue Mitte",1998,3
"»Ich habe fertig!«",1998,4
Event,1998,5
jahr-2000-fähig,1998,6
Cousinenwirtschaft,1998,7
Moralkeule,1998,8
Euroland,1998,9
Ökosteuer,1998,10
nachhaltig,1998,11
"»piep, piep, piep«",1998,12
Reformstau,1997,1
"Ruck durch Deutschland",1997,2
Bildungsmisere,1997,3
Klonschaf,1997,4
Elchtest,1997,5
Tamagotchi,1997,6
Jahrhundertflut,1997,7
Paparazzi,1997,8
Arbeitsgesellschaft,1997,9
Sparpaket,1996,1
Haushaltslöcher,1996,2
Lohnfortzahlung,1996,3
Globalisierung,1996,4
Homepage,1996,5
Rechtschreibreform,1996,6
genmanipuliert,1996,7
Kinderschänder,1996,8
Inline-Skating,1996,9
Ladenschluss,1996,10
Multimedia,1995,1
Eurogeld,1995,2
Kruzifixurteil,1995,3
Reichtagsverhüllung,1995,4
Kampfeinsatz,1995,5
"anklicken (mit der Computermaus)",1995,6
"virtuelle Realität",1995,7
Datenautobahn,1995,8
"Wir sind Kirche",1995,9
Rechtschreibreform,1995,10
Superwahljahr,1994,1
Jackpot,1994,2
Unwort,1994,3
